ID,Area,Mean,Perim.,Feret,IntDen,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,
241,0.456,10580.889,2.435,0.937,4828.06,100,285684,1,478,921,123.69,0.756,
242,0.693,12214.634,2.91,1.111,8463.52,100,500800,1,727,921,110.556,0.91,
243,0.237,5366.5,1.623,0.65,1269.714,100,75131,1,18,927,126.87,0.52,
244,0.676,11137.4,2.802,1.048,7528.882,100,445496,1,649,933,119.745,0.91,
245,0.27,5291.062,1.807,0.758,1430.703,100,84657,1,434,941,30.964,0.52,
246,0.135,4651.875,1.179,0.552,628.934,100,37215,1,251,941,45,0.39,
247,0.473,11624.5,2.358,0.872,5500.713,100,325486,1,635,942,116.565,0.78,
248,0.744,15578.682,3.062,1.118,11584.308,100,685462,1,843,949,35.538,0.91,
249,0.389,9541.565,2.098,0.872,3708.806,100,219456,1,298,945,116.565,0.65,
250,0.676,12656.075,2.878,1.111,8555.507,100,506243,1,768,945,110.556,0.78,
251,0.169,4688.6,1.439,0.65,792.373,100,46886,1,543,948,143.13,0.39,
252,0.101,4579.833,1.103,0.469,464.395,100,27479,1,178,956,33.69,0.368,
253,0.203,4736.25,1.547,0.65,960.512,100,56835,1,1016,959,126.87,0.52,
254,0.676,12183.15,2.955,1.103,8235.809,100,487326,1,547,968,45,0.91,
255,0.558,7541.121,2.695,1.048,4205.683,100,248857,1,107,970,60.255,0.78,
256,0.27,4199.812,1.807,0.735,1135.629,100,67197,1,448,970,45,0.52,
257,0.98,12044.224,3.582,1.4,11805.749,100,698565,1,953,966,111.801,0.91,
258,0.203,4245.833,1.731,0.832,861.055,100,50950,1,460,972,51.34,0.433,
259,0.169,5215.5,1.363,0.65,881.42,100,52155,1,816,974,126.87,0.39,
260,0.237,6547.071,1.623,0.65,1549.037,100,91659,1,522,977,126.87,0.52,
261,0.524,11330.29,2.587,1.103,5935.939,100,351239,1,711,977,135,0.78,
262,0.659,7826.231,2.91,1.111,5158.269,100,305223,1,905,978,110.556,0.872,
263,0.98,13543.552,3.506,1.233,13275.389,100,785526,1,373,981,108.435,1.04,
264,0.896,9459.66,3.506,1.3,8473.018,100,501362,1,925,982,126.87,1.04,
265,0.761,15086.133,3.094,1.226,11473.004,100,678876,1,775,989,122.005,0.919,
266,0.135,3843,1.179,0.552,519.574,100,30744,1,67,994,135,0.39,
267,0.186,4676.182,1.547,0.65,869.302,100,51438,1,858,994,126.87,0.46,
268,0.744,7465.591,3.138,1.28,5551.413,100,328486,1,532,999,113.962,0.78,
269,0.49,7387.724,2.435,0.99,3620.724,100,214244,1,297,1002,113.199,0.65,
270,0.152,4108.667,1.363,0.581,624.928,100,36978,1,127,1009,63.435,0.39,
271,0.828,12768.224,3.354,1.199,10573.367,100,625643,1,692,1007,102.529,1.028,
272,0.693,10979.585,2.878,1.118,7607.755,100,450163,1,141,1017,35.538,0.91,
273,0.135,4066.875,1.179,0.552,549.842,100,32535,1,982,1011,135,0.39,
274,0.254,6443.467,1.699,0.735,1633.419,100,96652,1,632,1018,45,0.52,
